ANIO,CCDD,CCPP,CCDI,CONGLOMERADO,NSELUA,UA,costo_total,produccion_kg,costo_por_kg,FACTOR_PRODUCTOR,es_outlier,NSEGM,ID_PROD
2021,13,06,04,07262,00075,11,280.0,250.0,1.12,94.2802197802198,1,,
2021,13,06,05,07287,00014,2,3.0,30.0,0.1,94.2802197802198,0,,
2021,13,06,05,07287,00024,3,6.0,40.0,0.15,94.2802197802198,0,,
2021,13,06,05,07287,00030,4,13.0,158.0,0.08227848101265822,94.2802197802198,0,,
2021,13,06,05,07287,00045,6,65.0,320.0,0.203125,94.2802197802198,0,,
2021,13,06,05,07287,00046,7,55.0,515.0,0.10679611650485436,94.2802197802198,0,,
2021,13,06,05,07287,00053,8,6.0,40.0,0.15,94.2802197802198,0,,
2021,13,06,05,07287,00087,11,9.0,60.0,0.15,94.2802197802198,0,,
2021,13,06,05,07287,00088,12,22.0,150.0,0.14666666666666667,94.2802197802198,0,,
2021,13,06,05,07287,00104,14,22.0,220.0,0.1,94.2802197802198,0,,
2021,13,06,14,07296,00017,2,1.0,10.0,0.1,94.2802197802198,0,,
2021,13,06,14,07296,00048,4,3.0,4.0,0.75,94.2802197802198,1,,
2021,13,06,14,07296,00059,5,1300.0,4375.0,0.29714285714285715,94.2802197802198,0,,
2021,13,06,14,07296,00085,8,25.0,300.0,0.08333333333333333,94.2802197802198,0,,
2021,13,06,14,07296,00089,9,8.0,30.0,0.26666666666666666,94.2802197802198,0,,
2021,13,06,14,07296,00096,10,20.0,100.0,0.2,94.2802197802198,0,,
2021,13,06,14,07296,00131,12,20.0,320.0,0.0625,94.2802197802198,0,,
2021,13,06,14,07296,00158,14,60.0,500.0,0.12,94.2802197802198,0,,
2021,13,06,14,07298,00069,9,340.0,1018.8000000000001,0.33372595210051037,94.2802197802198,0,,
2021,13,06,14,07318,00051,8,2.0,45.0,0.044444444444444446,109.99358974359,0,,
2021,13,06,14,07318,00060,9,10.0,125.0,0.08,109.99358974359,0,,
2021,13,06,14,07318,00068,10,2.0,65.0,0.03076923076923077,109.99358974359,0,,
2021,13,01,10,07426,00002,1,400.0,2800.0,0.14285714285714285,104.719230769231,0,,
2021,13,01,10,07426,00005,2,150.0,1290.0,0.11627906976744186,104.719230769231,0,,
2021,13,01,10,07426,00008,3,110.0,2500.0,0.044,104.719230769231,0,,
2021,13,01,10,07426,00033,6,250.0,6500.0,0.038461538461538464,104.719230769231,0,,
2021,13,01,10,07426,00038,7,990.0,5000.0,0.198,104.719230769231,0,,
2021,13,01,10,07426,00044,9,5.0,120.0,0.041666666666666664,104.719230769231,0,,
2021,13,01,10,07426,00062,11,250.0,1600.0,0.15625,104.719230769231,0,,
2021,13,01,10,07426,00064,12,900.0,12000.0,0.075,104.719230769231,0,,
2021,13,01,10,07426,00076,14,3000.0,25000.0,0.12,104.719230769231,0,,
2021,13,01,08,07432,00064,9,115.0,1353.0,0.08499630450849963,97.2392857142857,0,,
2021,13,01,06,07436,00040,3,70.0,605.0,0.11570247933884298,97.2392857142857,0,,
2021,13,01,06,07436,00059,5,25.0,200.0,0.125,97.2392857142857,0,,
2021,13,01,06,07436,00091,7,5300.0,20500.0,0.25853658536585367,97.2392857142857,0,,
2021,13,01,06,07436,00094,8,50.0,200.0,0.25,97.2392857142857,0,,
2021,13,01,06,07436,00104,10,2.0,40.0,0.05,97.2392857142857,0,,
2021,13,01,06,07436,00110,11,2.0,45.0,0.044444444444444446,97.2392857142857,0,,
2021,13,01,07,07455,00021,1,1.0,25.0,0.04,97.2392857142857,0,,
2021,13,01,07,07455,00023,2,2.0,10.0,0.2,97.2392857142857,0,,
2021,13,01,07,07455,00026,3,1.0,10.0,0.1,97.2392857142857,0,,
2021,13,01,07,07455,00045,4,1.0,37.5,0.02666666666666667,97.2392857142857,0,,
2021,13,01,07,07455,00065,6,1.0,27.0,0.037037037037037035,97.2392857142857,0,,
2021,13,01,07,07455,00077,7,1.0,20.0,0.05,97.2392857142857,0,,
2021,13,01,07,07455,00092,8,32.0,195.0,0.1641025641025641,97.2392857142857,0,,
2021,13,01,07,07455,00104,9,3.0,37.5,0.08,97.2392857142857,0,,
2021,13,01,07,07455,00118,11,6.0,42.0,0.14285714285714285,97.2392857142857,0,,
2021,13,12,01,07462,00006,1,1304.0,7050.0,0.1849645390070922,113.445833333333,0,,
2021,13,12,01,07462,00007,2,61.0,515.0,0.11844660194174757,113.445833333333,0,,
2021,13,12,01,07462,00011,3,48.0,180.0,0.26666666666666666,113.445833333333,0,,
2021,13,12,01,07462,00024,5,9800.0,58600.0,0.16723549488054607,113.445833333333,0,,
2021,13,12,01,07462,00053,7,2.0,9.0,0.2222222222222222,113.445833333333,0,,
2021,13,12,01,07462,00054,8,197.0,1100.0,0.17909090909090908,113.445833333333,0,,
2021,13,12,01,07462,00063,9,265.0,1100.0,0.2409090909090909,113.445833333333,0,,
2021,13,12,01,07462,00065,10,650.0,1700.0,0.38235294117647056,113.445833333333,0,,
2021,13,12,01,07462,00073,11,2050.0,11880.0,0.17255892255892255,113.445833333333,0,,
2021,13,12,01,07462,00085,13,8.0,140.0,0.05714285714285714,113.445833333333,0,,
2021,13,12,01,07462,00091,14,1180.0,2400.0,0.49166666666666664,113.445833333333,1,,
2021,13,12,01,07463,00002,1,506.0,2050.0,0.24682926829268292,97.2392857142857,0,,
2021,13,12,01,07463,00008,2,3200.0,30100.0,0.10631229235880399,97.2392857142857,0,,
2021,13,12,01,07463,00013,4,272.0,5800.0,0.04689655172413793,97.2392857142857,0,,
2021,13,12,01,07463,00026,6,300.0,2500.0,0.12,97.2392857142857,0,,
2021,13,12,01,07463,00031,7,400.0,1800.0,0.2222222222222222,97.2392857142857,0,,
2021,13,12,01,07463,00056,12,850.0,12200.0,0.06967213114754098,97.2392857142857,0,,
2021,13,12,01,07463,00072,14,42.0,125.0,0.336,97.2392857142857,0,,
2021,13,12,02,07494,00018,3,65.0,300.0,0.21666666666666667,104.719230769231,0,,
2021,13,12,02,07494,00028,4,6.0,80.0,0.075,104.719230769231,0,,
2021,13,12,02,07494,00035,5,5700.0,10500.0,0.5428571428571428,104.719230769231,1,,
2021,13,12,02,07494,00051,6,612.0,2500.0,0.2448,104.719230769231,0,,
2021,13,12,02,07494,00055,7,4000.0,8500.0,0.47058823529411764,104.719230769231,1,,
2021,13,12,02,07494,00095,13,12.0,200.0,0.06,104.719230769231,0,,
2021,13,12,02,07495,00005,1,1000.0,3500.0,0.2857142857142857,97.2392857142857,0,,
2021,13,12,02,07495,00025,2,15000.0,27000.0,0.5555555555555556,97.2392857142857,1,,
2021,13,12,02,07495,00028,4,49.0,120.0,0.4083333333333333,97.2392857142857,0,,
2021,13,12,02,07495,00031,5,40.0,300.0,0.13333333333333333,97.2392857142857,0,,
2021,13,12,02,07495,00050,7,1240.0,4000.0,0.31,97.2392857142857,0,,
2021,13,12,02,07495,00058,8,5250.0,25200.0,0.20833333333333334,97.2392857142857,0,,
2021,13,12,02,07495,00065,9,15.0,200.0,0.075,97.2392857142857,0,,
2021,13,12,02,07495,00072,11,3000.0,18000.0,0.16666666666666666,97.2392857142857,0,,
2021,13,12,02,07496,00008,2,2100.0,11000.0,0.19090909090909092,104.719230769231,0,,
2021,13,12,02,07496,00009,3,250.0,2000.0,0.125,104.719230769231,0,,
2021,13,12,02,07496,00023,4,2000.0,14000.0,0.14285714285714285,104.719230769231,0,,
2021,13,12,02,07496,00030,6,11750.0,65000.0,0.18076923076923077,104.719230769231,0,,
2021,13,12,02,07496,00037,7,18000.0,77000.0,0.23376623376623376,104.719230769231,0,,
2021,13,12,02,07496,00042,8,3800.0,20000.0,0.19,104.719230769231,0,,
2021,13,12,02,07496,00043,9,7250.0,36000.0,0.2013888888888889,104.719230769231,0,,
2021,13,12,02,07496,00071,13,9500.0,10000.0,0.95,104.719230769231,1,,
2021,13,10,07,07643,00050,9,1.0,2.8000000000000003,0.3571428571428571,109.99358974359,0,,
2021,13,09,06,07706,00112,11,6.0,120.0,0.05,94.2802197802198,0,,
2021,13,09,06,07706,00144,14,16.0,150.0,0.10666666666666667,94.2802197802198,0,,
2021,13,09,05,07716,00003,1,200.0,3200.0,0.0625,94.2802197802198,0,,
2021,13,09,05,07716,00054,6,166.0,1000.0,0.166,94.2802197802198,0,,
2021,13,09,05,07716,00066,7,120.0,240.0,0.5,94.2802197802198,1,,
2021,13,09,05,07716,00144,14,80.0,500.0,0.16,94.2802197802198,0,,
2021,13,09,08,07755,00010,2,720.0,14625.0,0.04923076923076923,94.2802197802198,0,,
2021,13,09,03,07775,00019,3,7.0,60.0,0.11666666666666667,94.2802197802198,0,,
2021,13,09,03,07775,00029,4,80.0,700.0,0.11428571428571428,94.2802197802198,0,,
2021,13,09,03,07775,00034,5,2.0,45.0,0.044444444444444446,94.2802197802198,0,,
2021,13,09,03,07775,00047,6,560.0,5020.0,0.11155378486055777,94.2802197802198,0,,
2021,13,09,03,07775,00058,7,5.0,200.0,0.025,94.2802197802198,0,,
2021,13,09,03,07775,00102,10,15.0,375.0,0.04,94.2802197802198,0,,
2021,13,09,04,07840,00017,2,300.0,2700.0,0.1111111111111111,94.2802197802198,0,,
2021,13,08,02,08025,00056,7,15.0,100.0,0.15,101.532544378698,0,,
2021,13,08,02,08025,00075,10,7.0,40.0,0.175,101.532544378698,0,,
2022,13,04,02,06990,00071,12,35.0,27.0,1.2962962962962963,50.7019607843137,1,,
2022,13,04,01,07004,00008,2,22.0,40.0,0.55,50.7019607843137,0,,
2022,13,04,01,07010,00085,11,90.0,200.0,0.45,50.7019607843137,0,,
2022,13,04,01,07010,00091,13,800.0,4040.0,0.19801980198019803,50.7019607843137,0,,
2022,13,02,05,07065,00086,10,500.0,3500.0,0.14285714285714285,50.7019607843137,0,,
2022,13,02,01,07079,00007,1,10.0,75.0,0.13333333333333333,50.7019607843137,0,,
2022,13,02,01,07079,00033,2,14500.0,21500.0,0.6744186046511628,50.7019607843137,0,,
2022,13,02,01,07079,00054,6,2800.0,6800.0,0.4117647058823529,50.7019607843137,0,,
2022,13,02,01,07079,00069,9,15.0,80.0,0.1875,50.7019607843137,0,,
2022,13,02,02,07085,00093,10,18.0,50.0,0.36,50.7019607843137,0,,
2022,13,02,02,07085,00101,11,11.0,50.0,0.22,50.7019607843137,0,,
2022,13,11,01,07117,00052,5,270.0,200.0,1.35,98.7176470588235,1,,
2022,13,11,02,07130,00061,8,45.0,2000.0,0.0225,98.7176470588235,0,,
2022,13,11,02,07130,00073,9,1300.0,3600.0,0.3611111111111111,98.7176470588235,0,,
2022,13,11,04,07143,00007,1,450.0,2170.0,0.2073732718894009,98.7176470588235,0,,
2022,13,11,04,07143,00012,2,760.0,2400.0,0.31666666666666665,98.7176470588235,0,,
2022,13,11,04,07143,00021,3,350.0,960.0,0.3645833333333333,98.7176470588235,0,,
2022,13,11,04,07143,00026,4,6430.0,10400.0,0.6182692307692308,98.7176470588235,0,,
2022,13,11,04,07143,00038,6,700.0,3147.0,0.22243406418811568,98.7176470588235,0,,
2022,13,11,04,07143,00040,7,350.0,437.5,0.8,98.7176470588235,0,,
2022,13,11,04,07143,00042,8,3000.0,8425.0,0.3560830860534125,98.7176470588235,0,,
2022,13,11,04,07143,00050,10,5000.0,8555.0,0.5844535359438925,98.7176470588235,0,,
2022,13,11,04,07143,00060,12,300.0,637.5,0.47058823529411764,98.7176470588235,0,,
2022,13,11,04,07143,00067,13,2500.0,7600.0,0.32894736842105265,98.7176470588235,0,,
2022,13,11,04,07143,00075,14,2000.0,11670.0,0.1713796058269066,98.7176470588235,0,,
2022,13,11,04,07143,00077,15,750.0,17680.0,0.04242081447963801,98.7176470588235,0,,
2022,13,11,04,07156,00033,3,30.0,216.0,0.1388888888888889,98.7176470588235,0,,
2022,13,11,04,07156,00074,9,55.0,225.0,0.24444444444444444,98.7176470588235,0,,
2022,13,11,04,07156,00091,13,5.0,150.0,0.03333333333333333,98.7176470588235,0,,
2022,13,11,04,07156,00096,15,10.0,54.0,0.18518518518518517,98.7176470588235,0,,
2022,13,06,06,07196,00015,2,100.0,1160.0,0.08620689655172414,98.7176470588235,0,,
2022,13,06,06,07196,00029,6,500.0,5250.0,0.09523809523809523,98.7176470588235,0,,
2022,13,06,04,07262,00027,4,5.0,230.0,0.021739130434782608,105.768907563025,0,,
2022,13,06,04,07262,00047,6,700.0,900.0,0.7777777777777778,105.768907563025,0,,
2022,13,06,04,07262,00061,9,5.0,80.0,0.0625,105.768907563025,0,,
2022,13,06,04,07262,00090,13,5.0,340.0,0.014705882352941176,105.768907563025,0,,
2022,13,06,04,07262,00102,15,1650.0,5020.0,0.3286852589641434,105.768907563025,0,,
2022,13,06,05,07275,00004,2,535.0,2054.0,0.26046738072054526,98.7176470588235,0,,
2022,13,06,05,07275,00016,4,1.0,10.0,0.1,98.7176470588235,0,,
2022,13,06,05,07275,00025,5,9.0,120.0,0.075,98.7176470588235,0,,
2022,13,06,05,07275,00049,7,15.0,72.0,0.20833333333333334,98.7176470588235,0,,
2022,13,06,05,07275,00055,9,36.0,80.0,0.45,98.7176470588235,0,,
2022,13,06,05,07275,00061,10,16.0,50.0,0.32,98.7176470588235,0,,
2022,13,06,05,07275,00066,11,20.0,40.0,0.5,98.7176470588235,0,,
2022,13,06,05,07275,00076,14,20.0,200.0,0.1,98.7176470588235,0,,
2022,13,06,05,07288,00004,2,45.0,349.79999999999995,0.1286449399656947,98.7176470588235,0,,
2022,13,06,05,07288,00030,5,140.0,84.0,1.6666666666666667,98.7176470588235,1,,
2022,13,06,05,07288,00049,7,15.0,108.0,0.1388888888888889,98.7176470588235,0,,
2022,13,06,05,07288,00057,8,75.0,36.0,2.0833333333333335,98.7176470588235,1,,
2022,13,06,05,07288,00059,9,60.0,96.0,0.625,98.7176470588235,0,,
2022,13,06,14,07301,00093,10,100.0,1140.0,0.08771929824561403,98.7176470588235,0,,
2022,13,06,14,07301,00096,11,302.0,680.0,0.4441176470588235,98.7176470588235,0,,
2022,13,06,14,07301,00140,15,865.0,1000.0,0.865,98.7176470588235,0,,
2022,13,01,10,07424,00012,1,1900.0,5000.0,0.38,50.7019607843137,0,,
2022,13,01,10,07424,00016,2,350.0,3600.0,0.09722222222222222,50.7019607843137,0,,
2022,13,01,10,07424,00085,11,100.0,37000.0,0.002702702702702703,50.7019607843137,0,,
2022,13,01,10,07424,00096,13,100.0,4300.0,0.023255813953488372,50.7019607843137,0,,
2022,13,01,10,07424,00099,14,1000.0,6250.0,0.16,50.7019607843137,0,,
2022,13,01,10,07424,00107,15,100.0,2600.0,0.038461538461538464,50.7019607843137,0,,
2022,13,01,08,07431,00007,1,329.0,330.0,0.996969696969697,50.7019607843137,0,,
2022,13,01,08,07431,00027,6,639.0,1175.0,0.5438297872340425,50.7019607843137,0,,
2022,13,01,08,07431,00031,7,406.0,1020.0,0.3980392156862745,50.7019607843137,0,,
2022,13,01,08,07431,00036,9,80.0,300.0,0.26666666666666666,50.7019607843137,0,,
2022,13,01,08,07431,00055,11,3262.0,10288.0,0.31706842923794715,50.7019607843137,0,,
2022,13,01,08,07431,00060,13,130.0,850.0,0.15294117647058825,50.7019607843137,0,,
2022,13,01,08,07431,00068,14,230.0,12200.0,0.018852459016393444,50.7019607843137,0,,
2022,13,01,08,07431,00073,15,4036.0,12850.0,0.31408560311284045,50.7019607843137,0,,
2022,13,01,06,07438,00040,6,50.0,120.0,0.4166666666666667,50.7019607843137,0,,
2022,13,01,06,07438,00107,15,180.0,1800.0,0.1,50.7019607843137,0,,
2022,13,01,06,07444,00017,2,37.0,60.0,0.6166666666666667,69.1390374331551,0,,
2022,13,01,07,07458,00059,7,32.0,24.0,1.3333333333333333,63.3774509803922,1,,
2022,13,12,01,07465,00066,9,5000.0,18000.15,0.2777754629822529,50.7019607843137,0,,
2022,13,12,01,07465,00106,15,950.0,29000.0,0.032758620689655175,50.7019607843137,0,,
2022,13,12,01,07472,00009,1,165.0,500.0,0.33,50.7019607843137,0,,
2022,13,12,01,07478,00007,2,1660.0,3100.0,0.535483870967742,54.3235294117647,0,,
2022,13,12,01,07478,00020,3,3300.0,3000.0,1.1,54.3235294117647,0,,
2022,13,12,01,07478,00031,6,250.0,3000.0,0.08333333333333333,54.3235294117647,0,,
2022,13,12,01,07478,00043,10,560.0,3200.0,0.175,54.3235294117647,0,,
2022,13,12,01,07478,00046,11,3012.0,5000.0,0.6024,54.3235294117647,0,,
2022,13,12,01,07478,00059,12,650.0,11000.0,0.05909090909090909,54.3235294117647,0,,
2022,13,12,01,07478,00063,13,970.0,4000.0,0.2425,54.3235294117647,0,,
2022,13,12,01,07478,00083,15,287600.0,994000.0,0.2893360160965795,54.3235294117647,0,,
2022,13,12,02,07485,00002,1,500.0,10000.0,0.05,54.3235294117647,0,,
2022,13,12,02,07485,00013,2,4900.0,20000.0,0.245,54.3235294117647,0,,
2022,13,12,02,07485,00019,4,10400.0,15000.0,0.6933333333333334,54.3235294117647,0,,
2022,13,12,02,07485,00036,11,1250.0,4000.0,0.3125,54.3235294117647,0,,
2022,13,12,02,07485,00041,14,290.0,240.0,1.2083333333333333,54.3235294117647,1,,
2022,13,12,02,07492,00014,3,7440.0,5000.0,1.488,50.7019607843137,1,,
2022,13,12,02,07492,00016,4,50.0,1000.0,0.05,50.7019607843137,0,,
2022,13,12,02,07492,00034,5,1300.0,11000.0,0.11818181818181818,50.7019607843137,0,,
2022,13,12,02,07492,00039,6,12900.0,21000.0,0.6142857142857143,50.7019607843137,0,,
2022,13,12,02,07492,00040,7,7580.0,10000.0,0.758,50.7019607843137,0,,
2022,13,12,02,07492,00041,8,11800.0,15000.0,0.7866666666666666,50.7019607843137,0,,
2022,13,12,02,07492,00049,10,280.0,1000.0,0.28,50.7019607843137,0,,
2022,13,12,02,07492,00102,15,2000.0,7000.0,0.2857142857142857,50.7019607843137,0,,
2022,13,12,02,07499,00027,4,9000.0,29000.0,0.3103448275862069,50.7019607843137,0,,
2022,13,12,02,07499,00060,9,15000.0,40000.0,0.375,50.7019607843137,0,,
2022,13,05,03,07522,00131,10,2300.0,1440.0,1.5972222222222223,98.7176470588235,1,,
2022,13,05,04,07574,00001,1,30.0,120.0,0.25,98.7176470588235,0,,
2022,13,05,04,07574,00006,2,120.0,400.0,0.3,98.7176470588235,0,,
2022,13,10,04,07627,00020,3,160.0,320.0,0.5,98.7176470588235,0,,
2022,13,09,06,07706,00147,15,75.0,148.0,0.5067567567567568,98.7176470588235,0,,
2022,13,09,02,07786,00075,12,280.0,1500.0,0.18666666666666668,98.7176470588235,0,,
2022,13,09,01,07852,00025,3,130.0,150.0,0.8666666666666667,98.7176470588235,0,,
2022,13,09,01,07852,00043,7,5.0,25.0,0.2,98.7176470588235,0,,
2022,13,03,05,07957,00007,2,612.0,3156.0,0.19391634980988592,98.7176470588235,0,,
2022,13,03,02,07971,00063,13,5.0,320.0,0.015625,98.7176470588235,0,,
2022,13,08,09,07984,00028,6,14.0,100.0,0.14,98.7176470588235,0,,
2022,13,08,08,07997,00063,3,570.0,2400.0,0.2375,98.7176470588235,0,,
2022,13,08,08,07997,00067,4,455.0,300.0,1.5166666666666666,98.7176470588235,1,,
2022,13,08,08,07997,00112,10,538.0,600.0,0.8966666666666666,98.7176470588235,0,,
2023,13,03,05,,,02,1632.0,15000.0,0.1088,54.7645492553711,0,05575,02
2023,13,03,05,,,03,300.0,4000.0,0.075,91.8859329223633,0,05575,03
2023,13,04,01,,,02,8.0,48.0,0.16666666666666666,50.5117492675781,0,05609,02
2023,13,04,01,,,03,10.0,20.0,0.5,7.13267183303833,0,05609,03
2023,13,04,01,,,05,25.0,120.0,0.20833333333333334,5.74312305450439,0,05609,05
2023,13,04,01,,,06,15.0,80.0,0.1875,2.17795062065125,0,05610,06
2023,13,04,01,,,03,24.0,48.0,0.5,7.50198364257813,0,05611,03
2023,13,07,05,,,01,50.0,10.0,5.0,0.0220795553177595,1,05612,01
2023,13,11,01,,,03,200.0,1500.0,0.13333333333333333,73.6777572631836,0,05624,03
2023,13,07,01,,,05,5.0,100.0,0.05,2.45951437950134,0,05625,05
2023,13,07,01,,,06,80.0,600.0,0.13333333333333333,1.16281843185425,0,05625,06
2023,13,07,01,,,04,180063.0,215050.0,0.8373076028830505,0.398737341165543,0,05629,04
2023,13,03,03,,,01,100.0,82.5,1.2121212121212122,192.165863037109,0,05634,01
2023,13,03,03,,,02,300.0,246.0,1.2195121951219512,35.290699005127,0,05634,02
2023,13,03,03,,,03,140.0,320.0,0.4375,171.854766845703,0,05634,03
2023,13,11,01,,,01,150.0,195.0,0.7692307692307693,35.3731384277344,0,05635,01
2023,13,11,04,,,01,1690.0,5070.0,0.3333333333333333,258.617401123047,0,05638,01
2023,13,11,04,,,02,550.0,2000.0,0.275,136.524856567383,0,05638,02
2023,13,11,04,,,03,935.0,1110.0,0.8423423423423423,139.893402099609,0,05638,03
2023,13,11,04,,,04,680.0,2000.0,0.34,5.27157926559448,0,05638,04
2023,13,11,04,,,05,310.0,500.0,0.62,283.868804931641,0,05638,05
2023,13,11,04,,,07,5700.0,6300.0,0.9047619047619048,492.426025390625,0,05638,07
2023,13,11,04,,,02,10.0,20.0,0.5,82.6452484130859,0,05641,02
2023,13,11,04,,,03,100.0,50.0,2.0,68.8496017456055,0,05641,03
2023,13,11,04,,,04,552.0,200.0,2.76,70.6267242431641,1,05641,04
2023,13,11,04,,,05,500.0,220.0,2.272727272727273,48.9221458435059,0,05641,05
2023,13,11,04,,,01,2400.0,1755.0,1.3675213675213675,6.63432836532593,0,05643,01
2023,13,11,04,,,02,85.0,530.0,0.16037735849056603,11.8112134933472,0,05647,02
2023,13,11,01,,,01,132.0,150.0,0.88,104.804878234863,0,05648,01
2023,13,11,01,,,02,50.0,210.0,0.23809523809523808,94.6107025146484,0,05648,02
2023,13,11,01,,,03,320.0,420.0,0.7619047619047619,354.043182373047,0,05648,03
2023,13,11,01,,,04,300.0,165.0,1.8181818181818181,16.8900756835938,0,05648,04
2023,13,11,01,,,08,6900.0,3435.0,2.0087336244541483,115.583892822266,0,05648,08
2023,13,11,01,,,01,60.0,515.0,0.11650485436893204,161.577896118164,0,05652,01
2023,13,11,01,,,02,210.0,150.0,1.4,118.687080383301,0,05652,02
2023,13,11,01,,,04,335.0,1375.0,0.24363636363636362,60.5132598876953,0,05652,04
2023,13,11,01,,,13,670.0,600.0,1.1166666666666667,50.1181945800781,0,05652,13
2023,13,11,04,,,02,6421.0,28270.0,0.22713123452423065,2.65180969238281,0,05658,02
2023,13,11,04,,,03,1120.0,7275.0,0.15395189003436427,0.0214913692325354,0,05658,03
2023,13,11,04,,,04,1600.0,13000.0,0.12307692307692308,0.0157814454287291,0,05658,04
2023,13,03,03,,,12,100.0,4200.0,0.023809523809523808,0.018341826274991,0,05659,12
2023,13,11,01,,,15,1220.0,5250.0,0.23238095238095238,0.778654277324677,0,05660,15
2023,13,11,01,,,04,600.0,200.0,3.0,4.88222503662109,1,05671,04
2023,13,11,01,,,06,380.0,300.0,1.2666666666666666,1.50157690048218,0,05671,06
2023,13,11,01,,,09,1580.0,1000.0,1.58,1.87220823764801,0,05671,09
2023,13,09,02,,,01,780.0,3100.0,0.25161290322580643,102.578247070313,0,05682,01
2023,13,09,02,,,03,1000.0,1800.0,0.5555555555555556,25.1604499816895,0,05682,03
2023,13,09,02,,,05,2640.0,3000.0,0.88,7.33023023605347,0,05682,05
2023,13,09,02,,,06,360.0,600.0,0.6,7.51306056976318,0,05682,06
2023,13,09,02,,,07,1000.0,2180.0,0.45871559633027525,5.8626914024353,0,05682,07
2023,13,09,02,,,08,1000.0,2100.0,0.47619047619047616,54.8126754760742,0,05682,08
2023,13,09,02,,,09,4400.0,4900.0,0.8979591836734694,241.209976196289,0,05682,09
2023,13,09,02,,,11,730.0,1500.0,0.4866666666666667,12.9379949569702,0,05682,11
2023,13,09,02,,,12,140.0,300.0,0.4666666666666667,7.83760643005371,0,05682,12
2023,13,02,08,,,03,53.0,20.0,2.65,87.6289367675781,1,05687,03
2023,13,02,08,,,04,46.0,54.0,0.8518518518518519,9.7500114440918,0,05687,04
2023,13,02,08,,,06,110.0,72.0,1.5277777777777777,31.1491947174072,0,05687,06
2023,13,02,01,,,01,119799.0,20000.0,5.98995,0.310527384281158,1,05690,01
2023,13,09,08,,,02,130.0,520.0,0.25,0.921332895755768,0,05695,02
2023,13,11,02,,,01,20.0,180.0,0.1111111111111111,29.5846214294434,0,05697,01
2023,13,11,02,,,06,15.0,75.0,0.2,63.0696563720703,0,05697,06
2023,13,11,02,,,07,670.0,750.0,0.8933333333333333,15.5068283081055,0,05697,07
2023,13,02,01,,,09,29.0,150.0,0.19333333333333333,124.112030029297,0,05711,09
